iter	MAE	RMSE
493	0.478037295	0.620960182
494	0.4779111737	0.6207916547
495	0.4777742004	0.6206266938
496	0.4776210501	0.6204404593
497	0.4775144638	0.6203001574
498	0.4773974469	0.6201576101
499	0.4772773106	0.6199944843
500	0.477189652	0.6198704428
501	0.4770632575	0.6197321662
502	0.4769505242	0.6195782718
503	0.4768616203	0.6194479047
504	0.4768491588	0.6194211935
505	0.4767130034	0.6192690099
506	0.4765748381	0.6190838697
507	0.4764702285	0.6189208601
508	0.4763600568	0.6187818076
509	0.4761821293	0.6185773046
510	0.4760750091	0.6184517128
511	0.4759061505	0.6182807022
512	0.4757875028	0.6181355595
513	0.475687897	0.6180110519
514	0.4755638177	0.6178566119
515	0.4754675489	0.6177334572
516	0.4752967568	0.617514794
517	0.4751753253	0.6173531772
518	0.4751165261	0.6172752093
519	0.4750728185	0.6172154229
520	0.4748541606	0.6169589135
521	0.4747273698	0.6167929836
522	0.4745999604	0.6166265345
523	0.4744968686	0.6165070212
524	0.4743513184	0.6163139514
525	0.4742410473	0.6161997453
526	0.474109254	0.6160036393
527	0.473960621	0.615826323
528	0.4738132616	0.6156263573
529	0.4736315597	0.6154566152
530	0.4734876379	0.6152666082
531	0.473471474	0.6152324948
532	0.4732965435	0.6150244008
533	0.473180206	0.6148474629
534	0.473053243	0.6146982708
535	0.472908889	0.614536097
536	0.47282541	0.6144297557
537	0.4727102402	0.6142738687
538	0.4725753632	0.6141148223
539	0.4725016884	0.6140091937
540	0.4724783416	0.6139790609
541	0.4723192716	0.6137856409
542	0.4722123404	0.613653045
543	0.4721122045	0.6134869909
544	0.4720604063	0.6134099173
545	0.4719087571	0.6131977368
546	0.4717429751	0.6129833902
547	0.4716224495	0.6128116365
548	0.4715762414	0.6127393737
549	0.4714624877	0.6125811167
550	0.4713814685	0.6124800685
551	0.4712784324	0.6123582534
552	0.4712101145	0.6122749066
553	0.4710696517	0.6121287818
554	0.4709701874	0.6119776573
555	0.4708869427	0.6118732804
556	0.4707664562	0.6117079725
557	0.4706159769	0.6115152262
558	0.4704438913	0.6113124692
559	0.4702788367	0.6110883977
560	0.4701813429	0.6109619179
561	0.4700592776	0.6107930655
562	0.4699809249	0.610673472
563	0.4698264398	0.610492709
564	0.4696626066	0.6103049761
565	0.469581046	0.6102002827
566	0.4694287106	0.6100039375
567	0.469263228	0.6098341402
568	0.4690729652	0.609623406
569	0.4689411745	0.6094534542
570	0.4688314692	0.6093241569
571	0.4686538888	0.6090869886
572	0.4685154682	0.6089243289
573	0.4684033146	0.60876227
574	0.4683294169	0.608665707
575	0.4682077014	0.6085313156
576	0.4680953205	0.6083688681
577	0.4680126281	0.6082539103
578	0.4679504279	0.6081525959
579	0.4678577611	0.6080022748
580	0.4677827679	0.607896619
581	0.4676713868	0.6077580384
582	0.4675611813	0.6076173028
583	0.4674428366	0.607446802
584	0.467327385	0.6073135469
585	0.4672721584	0.6072261288
586	0.4671999302	0.6071339063
587	0.4671396582	0.6070549037
588	0.4669918809	0.6068787663
589	0.4669171323	0.6067756801
590	0.4668484283	0.6066650237
591	0.4666957548	0.6064656587
592	0.4665675264	0.6063111993
593	0.4664515881	0.6061785847
594	0.4663144938	0.6059629354
595	0.4661756707	0.6057889523
596	0.4661167156	0.6057102932
597	0.4660171922	0.6055947549
598	0.4659244282	0.6054646183
599	0.4658312792	0.6053241266
